"os_id","contribution_date","name","address","country_code","country_name","lat","lng","sector","contributor (list)","number_of_workers","parent_company","processing_type_facility_type_raw","facility_type","processing_type","product_type","is_closed"
"US202034981P195","2020-12-14","A + Career Apparel","401 Arkansas AR","US","United States",34.7482822,-92.274368,"Apparel","Worker Rights Consortium (API)","","","","","","","False"
"US202034981P195","2021-02-20","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
"US202034981P195","2021-02-20","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
"US202034981P195","2020-12-15","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
"US2022300DYCWMR","2022-10-27","Ad Bands","210 Carpenter Dam Road, Hot Springs, AR, USA","US","United States",34.4690571,-93.0221553,"Unspecified","The Walt Disney Company (Disney Facility List FY21)","","","","","","","False"
"US20203496G2570","2020-12-14","Alliance Rubber Co.","210 Carpenter Dam Rd Hot Springs AR 71901","US","United States",34.4690571,-93.0221553,"Apparel","Worker Rights Consortium (API)","","","","","","","False"
"US20203496G2570","2022-12-20","","","","","","","Unspecified","Higg (API)","","","","","","",""
"US20203496G2570","2022-10-24","","","","","","","Hard Goods","Target Corporation (Target Factory List Oct 2022)","","","Final Product Assembly","","Final Product Assembly","Stationery",""
"US20203496G2570","2022-10-24","","","","","","","Home","Amazon (Amazon Facility List 2022)","","","","","","",""
"US20203496G2570","2021-02-20","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
"US20203496G2570","2021-02-20","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
"US20203496G2570","2020-12-15","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
"US2020212EEZWBK","2020-07-30","American Screening Corp","9742 St Vincent Ave, Ste 100, Shreveport, LA 71106","US","United States",32.400974,-93.7418541,"Apparel","PPE: IDH PPE Dashboard (PPE: IDH)","","","","","","","False"
"US20223398ZK8JH","2022-12-05","AQUARIUS LTD","3200 S. Kingshighway Blvd.","US","United States",33.3880759,-94.1089634,"Apparel","An Auditor / Certification Scheme / Service Provider (API)","","","","","","","False"
"US2020211BQRBK8","2020-07-29","Arkansas Regional Innovation Hub","North Little Rock AR 72114 United States","US","United States",34.769536,-92.2670941,"Apparel","PPE: Nation of Makers & Find the Masks (PPE: Nation of Makers & Find the Masks)","","","","","","","False"
"US2020349Z5TB27","2020-12-14","Backwoods Designs CNC","129 Spring Branch Cir Brandon MS 39047","US","United States",32.401957,-89.978619,"Apparel","Worker Rights Consortium (API)","","","","","","","False"
"US2020349Z5TB27","2021-02-20","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
"US2020349Z5TB27","2021-02-20","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
"US2020349Z5TB27","2021-01-07","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
"US2020349XNQ25C","2020-12-14","BEHOLD WASHINGTON","338 STAFFORD BLVD PONTOTON MS 38863","US","United States",34.2661073,-89.0117078,"Apparel","Worker Rights Consortium (API)","","","","","","","False"
"US2020349XNQ25C","2021-02-20","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
"US2020349XNQ25C","2021-02-20","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
"US2020349XNQ25C","2020-12-15","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
"US2022300266PXJ","2022-10-27","Boudreaux Operating Aquisitions LLC dba Claudia's Canine Cuisine","Boudreaux Operating Aquisitions, Llc Dba Claudia&#039;S Canine Cuisine, 100 Four Paws Lane 72113 Maumelle Arkansas United States","US","United States",34.8633346,-92.388626,"Agriculture","Roundtable on Sustainable Palm Oil (RSPO) [Public List] (Roundtable on Sustainable Palm Oil September 2022)","","","","","","","False"
"US2022297R7MSW8","2022-10-24","Calbee N. A., Senatobia, MS","795 Shands Bottom Rd, Senatobia, Mississippi, 38668","US","United States",34.59902599999999,-89.9537818,"Food & Beverage","Amazon (Amazon Facility List 2022)","","","","","","","False"
"US202230076JFHG","2022-10-27","Colour & Design Inc","10024 Maumelle Blvd, North Little Rock, AR, USA","US","United States",34.8208131,-92.370005,"Unspecified","The Walt Disney Company (Disney Facility List FY21)","","","","","","","False"
"US202229727Y4AN","2022-10-24","DBC Corp","228 Industrial Drive North  Madison 39110 Mississippi","US","United States",32.5239815,-90.0917619,"Food & Beverage","Target Corporation (Target Factory List Oct 2022)","","","Final Product Assembly","","Final Product Assembly","Snacks|Candy","False"
"US2020349DPCNQQ","2020-12-14","D.I.A.S. LLC dba Kidz World","413 Highway 8 W Calhoun City MS 38916","US","United States",33.8645198,-89.2395147,"Apparel","Worker Rights Consortium (API)","","","","","","","False"
"US2020349DPCNQQ","2021-02-21","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
"US2020349DPCNQQ","2021-02-20","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
"US2020349DPCNQQ","2020-12-15","","","","","","","Apparel","Worker Rights Consortium (API)","","","","","","",""
"US2021078ZP9QK4","2021-03-19","Dogpound Printing","319B Highway 182 EastStarkville39759Mississippi","US","United States",33.467108,-88.8115179,"Apparel","mhibanada (2018 Adidas Supplier List Tier 1 & 2)","","","","","","","False"
"US20222976XEM5A","2022-10-24","Drum-Line, Inc.","2114 S Main St  Stuttgart 72160 Arkansas","US","United States",34.48118669999999,-91.55445859999999,"Unspecified","Target Corporation (Target Factory List Oct 2022)","","","Final Product Assembly","","Final Product Assembly","|Non Retail","False"
"US20222976XEM5A","2022-10-26","","","","","","","Unspecified","The Walt Disney Company (Disney Facility List FY21)","","","","","","",""
"US202021187ND12","2020-07-29","Eagle Maker Hub","Hattiesburg MS  United States","US","United States",31.3271189,-89.29033919999999,"Apparel","PPE: Nation of Makers & Find the Masks (PPE: Nation of Makers & Find the Masks)","","","","","","","False"
